TimeStamp,close,Adj Close
2024-07-09,228.68,4542.490234375
2024-07-08,227.82,4540.77978515625
2024-07-05,226.34,4508.1298828125
2024-07-03,221.55,4486.31005859375
2024-07-02,220.27,4421.0498046875
2024-07-01,216.75,4397.509765625
2024-06-28,210.62,4341.08984375
2024-06-27,214.1,4359.81005859375
2024-06-26,213.25,4362.60986328125
2024-06-25,209.07,4346.4599609375
2024-06-24,208.14,4269.919921875
2024-06-21,207.49,4360.22021484375
2024-06-20,209.68,4397.080078125
2024-06-18,214.29,4468.39990234375
2024-06-17,216.67,4441.2900390625
2024-06-14,212.49,4389.31982421875
2024-06-13,214.24,4367.0
2024-06-12,213.07,4308.33984375
2024-06-11,207.15,4204.759765625
2024-06-10,193.12,4136.259765625
2024-06-07,196.89,4124.3701171875
2024-06-06,194.48,4116.18994140625
2024-06-05,195.87,4135.56005859375
2024-06-04,194.35,4027.75
2024-06-03,194.03,4011.239990234375
2024-05-31,192.25,3972.2099609375
2024-05-30,191.29,3972.260009765625
2024-05-29,190.29,4072.06005859375
2024-05-28,189.99,4086.659912109375
2024-05-24,189.98,4031.14990234375
2024-05-23,186.88,3986.10009765625
2024-05-22,190.9,3963.7900390625
2024-05-21,192.35,3961.0
2024-05-20,191.04,3948.820068359375
2024-05-17,189.87,3897.199951171875
2024-05-16,189.84,3915.929931640625
2024-05-15,189.72,3929.18994140625
2024-05-14,187.43,3841.1201171875
2024-05-13,186.28,3805.5400390625
2024-05-10,183.05,3787.389892578125
2024-05-09,184.57,3769.39990234375
2024-05-08,182.74,3778.97998046875
2024-05-07,182.4,3770.159912109375
2024-05-06,181.71,3790.219970703125
2024-05-03,183.38,3734.81005859375
2024-05-02,173.03,3625.659912109375
2024-05-01,169.3,3567.1298828125
2024-04-30,170.33,3612.610107421875
2024-04-29,173.5,3692.530029296875
2024-04-26,169.3,3679.3798828125
2024-04-25,169.89,3612.389892578125
2024-04-24,169.02,3606.929931640625
2024-04-23,166.9,3605.800048828125
2024-04-22,165.84,3545.110107421875
2024-04-19,165.0,3500.43994140625
2024-04-18,167.04,3611.669921875
2024-04-17,168.0,3644.27001953125
2024-04-16,169.38,3707.669921875
2024-04-15,172.69,3699.340087890625
2024-04-12,176.55,3774.449951171875
2024-04-11,175.04,3837.389892578125
2024-04-10,167.78,3748.77001953125
2024-04-09,169.67,3776.800048828125
2024-04-08,168.45,3770.93994140625
2024-04-05,169.58,3782.909912109375
2024-04-04,168.82,3731.27001953125
2024-04-03,169.65,3796.719970703125
2024-04-02,168.84,3792.669921875
2024-04-01,170.03,3829.659912109375
2024-03-28,171.48,3821.050048828125
2024-03-27,173.31,3825.31005859375
2024-03-26,169.71,3820.60009765625
2024-03-25,170.85,3849.919921875
2024-03-22,172.28,3869.949951171875
2024-03-21,171.37,3852.510009765625
2024-03-20,178.67,3847.260009765625
2024-03-19,176.08,3803.419921875
2024-03-18,173.72,3779.31005859375
2024-03-15,172.62,3760.2900390625
2024-03-14,173.0,3809.47998046875
2024-03-13,171.13,3813.85009765625
2024-03-12,173.23,3855.47998046875
2024-03-11,172.75,3760.030029296875
2024-03-08,170.73,3774.22998046875
2024-03-07,169.0,3844.989990234375
